country,population,total_cases,total_deaths,incidence,mortality,cfr,recovery_rate,vaccination_rate
Nicaragua,6730662.0,16805.0,245.0,0.0,0.26743283201563234,1.5632976008167432,97.4928659702707,65.25048848587751
Niger,25311978.0,9573.0,315.0,0.0,0.21728843158760644,3.3112582781456954,95.97152201944436,6.50424108764132
Nigeria,223150906.0,267229.0,3155.0,0.0,0.04167583348283605,1.18319007545415,98.65747541179583,6.672441768201701
Niue,1844.0,1092.0,0.0,0.0,0.0,0.0,100.0,81.27259580621836
North America,604356255.0,124519878.0,1714578.0,0.4101885236548102,1.0098348365733385,1.3684272994525477,98.14492454197277,53.83112031203196
North Macedonia,1840236.0,352093.0,9991.0,0.0,17.60643743519853,2.853745882501601,96.82788776163893,27.219357243250546
Northern Mariana Islands,46101.0,14985.0,41.0,0.0,6.507451031430989,0.2955594002306805,98.88911896149732,
Norway,5456796.0,1551217.0,5732.0,1.0262432387063765,3.7201317403106144,0.3762391704884611,99.40072066899344,50.432861370401916
Oceania,45049680.0,15032781.0,33170.0,0.06437337623707871,2.6548468268809016,0.22065112237050483,99.31312603907256,48.11424056738332
Oman,4730229.0,399449.0,4628.0,0.0,2.6002969412263126,1.1585959659430867,98.88527683493759,23.932700437660962
Pakistan,243700667.0,1580631.0,30656.0,0.0,0.12843625085359325,1.9395240017360562,98.01840842342489,37.200026146200805
Palau,17784.0,6372.0,10.0,0.0,33.738191632928476,0.15030060120240482,99.86784681464873,
Palestine,5305274.0,703228.0,5708.0,0.0,0.640871706155045,0.8116855415313383,99.15990726339489,14.305050839167645
Panama,4400775.0,1045662.0,8830.0,0.0,1.3861194903170464,0.8441663391182683,98.82107383205961,38.78658538419202
Papua New Guinea,10203177.0,46864.0,670.0,0.0,0.940883413078103,1.4296688289518606,98.7354570261273,2.0841363731798737
Paraguay,6760460.0,735759.0,19880.0,0.0,2.2483677146229692,2.701971705408972,97.3511511293922,14.744013416420845
Peru,33475436.0,4533436.0,221067.0,0.3644463361134415,2.5182644372428786,4.894677729389463,93.34577495051343,63.684482429109885
Philippines,113964343.0,4173631.0,66864.0,0.11889683775915769,0.4246942396710873,1.6149230638808052,97.56105657337768,26.19966434860791
Pitcairn,,4.0,0.0,,,0.0,100.0,
Poland,38385734.0,6841336.0,120979.0,0.6356528183100524,2.4852983142122542,1.835410653834927,97.88896364540942,49.72621027606547
Portugal,10417074.0,5671586.0,29643.0,0.0,19.333643977185915,0.5139303186092921,98.9395259668598,68.80353963971926
Puerto Rico,3240972.0,1252713.0,5938.0,0.30854941048549633,0.9873581135535883,0.4855355620583729,98.69274260177494,
Qatar,2892466.0,514524.0,690.0,2.143499698872865,0.34572575788272014,0.13429637458178356,99.84362853974163,62.19461673385764
Reunion,871543.0,494595.0,921.0,0.0,4.360083208745868,0.18621296212052285,99.71534578184773,
Romania,19166776.0,3603852.0,69095.0,0.27652016176325117,3.0834606717373854,2.0148334833269543,97.55314198506025,26.288558947818395
